TEAM,HAA,HEA,AAA,AEA,WR,CP,FR
TOT,1.36,0.78,1.29,0.98,57.89,1.35,2
CRY,0.78,1.25,0.82,1.33,28.95,0.91,3
CHE,1.21,0.71,1.06,0.71,52.63,1.27,2
NU,1.01,1.29,0.78,1.14,34.21,0.85,3
CHE,1.04,0.70,1.67,1.31,52.63,1.26,2
EVE,0.83,0.92,0.86,1.21,34.21,0.94,3
TOT,1.14,0.67,1.37,0.76,60.53,1.33,2
CRY,0.64,0.97,1.33,0.96,36.84,0.92,3
LIV,1.55,0.46,1.79,0.96,55.26,1.44,2
BOU,0.89,1.38,0.87,1.07,28.95,0.85,3
LIV,1.22,0.74,1.44,0.79,57.89,1.44,2
STO,0.79,1.05,1.23,1.09,28.95,0.83,3
MC,1.66,0.92,1.05,0.71,50.00,1.28,2
SWA,0.71,0.88,0.96,1.13,31.58,0.87,3
MU,1.46,0.72,1.01,0.79,52.63,1.34,2
WU,0.89,0.87,0.92,1.04,31.58,0.90,3
ARS,1.24,0.50,1.41,1.00,63.16,1.49,2
WU,0.86,1.18,0.66,0.83,28.95,0.75,3
ARS,1.33,0.76,1.06,0.47,55.26,1.41,2
FUL,1.23,1.16,0.93,1.01,28.95,0.83,3
LIV,1.69,0.42,1.65,0.52,65.79,1.64,1
ARS,1.30,0.90,1.79,0.64,57.89,1.48,1
LIV,1.31,0.74,1.97,0.76,60.53,1.52,1
ARS,1.62,0.48,1.10,0.25,63.16,1.61,1
LEE,1.23,0.58,1.60,0.78,52.38,1.44,1
